City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Tucuma,BR,76.28,scattered clouds,-0.1833,-50.05,
234,Ternate,ID,77.67,heavy intensity rain,0.8,127.4,Grand Dafam Bela Ternate
236,Tual,ID,80.62,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
239,Naze,JP,81.52,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
242,Hami,CN,78.96,overcast clouds,42.8,93.45,Laoyutang Resort
243,Isla Vista,US,88.68,fog,34.4133,-119.861,Best Western Plus South Coast Inn
244,Monroe,US,82.78,scattered clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
247,Lenoir City,US,83.7,broken clouds,35.7973,-84.256,"Holiday Inn Express & Suites Lenoir City (Knoxville Area), an IHG Hotel"
248,Hannibal,US,87.62,overcast clouds,39.7084,-91.3585,Country Hearth Inn Hannibal
249,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
250,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
251,Celestun,MX,86.59,overcast clouds,20.8667,-90.4,Posada Lilia
252,Santa Rosa,PH,81.86,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
253,Dingle,PH,79.3,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
254,Casper,US,79.02,clear sky,42.8666,-106.3131,Ramkota Hotel
257,Placido De Castro,BR,82.72,few clouds,-10.3353,-67.1856,Hotel Carioca
259,Lompoc,US,79.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
265,Huadian,CN,77.49,broken clouds,42.9633,126.7478,Huadian Forestry Bureau
267,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
269,Pacific Grove,US,87.46,scattered clouds,36.6177,-121.9166,Lovers Point Inn
270,Pittsfield,US,78.42,moderate rain,42.4501,-73.2454,"Holiday Inn & Suites Pittsfield-Berkshires, an IHG Hotel"
278,Mangan,IN,75.09,overcast clouds,27.5167,88.5333,Hotel Mout View
283,Thinadhoo,MV,81.93,overcast clouds,0.5333,72.9333,
288,Manaure,CO,84.58,broken clouds,11.7751,-72.4445,Hotel Palaaima
291,Manggar,ID,78.87,overcast clouds,-2.8833,108.2667,Guest Hotel
296,Tomigusuku,JP,83.97,broken clouds,26.185,127.675,Hotel Gran View Okinawa
299,Katsuura,JP,80.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
300,San Ignacio,BZ,77.14,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
301,San Patricio,US,89.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
302,Broome,US,78.62,broken clouds,42.2506,-75.833,Chenango Valley State Park
305,Kavieng,PG,84.54,broken clouds,-2.5744,150.7967,Nusa Island Retreat
307,Kampot,KH,77.05,light rain,10.6167,104.1833,Two Moons Hotel
309,Asifabad,IN,75.76,broken clouds,19.3667,79.2833,సిడం కైలాష్
310,Miranda,CO,84.33,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
316,Alta Floresta,BR,82.22,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
317,Padang,ID,75.33,overcast clouds,-0.9492,100.3543,Mercure Padang
319,Muli,MV,81.55,broken clouds,2.9167,73.5667,Medhufushi Island Resort
320,Toba,JP,76.32,light rain,34.4833,136.85,ホテル アルティア鳥羽
325,Sur,OM,84.49,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
326,Mengyin,CN,80.26,overcast clouds,35.7069,117.9264,Jinmengyuan Hotel
327,Griffith,US,82.35,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
328,Luoyang,CN,78.22,light rain,34.6836,112.4536,易家国际青年旅舍
330,Nago,JP,84.36,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
331,Bhadrachalam,IN,75.69,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
334,Soverato,IT,75.15,clear sky,38.685,16.5499,Hotel San Domenico
339,Chapada Dos Guimaraes,BR,78.46,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
341,Sahibganj,IN,80.58,overcast clouds,25.25,87.65,hotel
345,Freeport,US,87.28,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
347,Davila,PH,78.78,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
353,Tessalit,ML,88.99,overcast clouds,20.1986,1.0114,
354,Indian Trail,US,89.73,clear sky,35.0768,-80.6692,"Country Inn & Suites by Radisson, Charlotte/Matthews, NC"
355,Palm Coast,US,85.08,overcast clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
356,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
357,Lethem,GY,76.23,broken clouds,3.3803,-59.7968,Savannah Inn
361,Boende,CD,79.61,broken clouds,-0.2167,20.8667,
363,Sao Raimundo Das Mangabeiras,BR,80.28,clear sky,-7.0219,-45.4811,Hotel Tropical
364,Bow Island,CA,89.62,clear sky,49.8668,-111.3684,Pleasant View Lodge
365,Bandarbeyla,SO,79.56,broken clouds,9.4942,50.8122,JABIR HOTEL
366,Bethel,US,86.11,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
367,Morristown,US,83.71,scattered clouds,36.214,-83.2949,Days Inn by Wyndham Morristown
372,Palauig,PH,82.44,overcast clouds,15.435,119.9045,Myhousebythesea
376,Jacareacanga,BR,80.49,clear sky,-6.2222,-57.7528,Casa do Ian😎
377,Lisala,CD,75.31,broken clouds,2.15,21.5167,
379,Silvino Lobos,PH,77.63,broken clouds,12.3,124.8333,
382,Tirumullaivasal,IN,80.33,heavy intensity rain,11.2333,79.8333,Shanmugam RS TNEB
384,Charleston,US,89.76,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
387,Tevaitoa,PF,79.18,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
388,Canosa Di Puglia,IT,78.58,clear sky,41.2196,16.0675,Hotel Canusium
391,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
392,Akyab,MM,81.46,broken clouds,20.15,92.9,Hotel Memory
393,Zanesville,US,84.58,clear sky,39.9404,-82.0132,"Holiday Inn Express & Suites Zanesville North, an IHG Hotel"
399,Sao Raimundo Nonato,BR,77.94,few clouds,-9.0153,-42.6994,Real Hotel
400,Minbu,MM,79.68,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
401,Pathein,MM,78.04,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
407,Trairi,BR,79.5,scattered clouds,-3.2778,-39.2689,janelas do mar
409,Kavaratti,IN,82.72,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
412,La Brea,HN,87.31,few clouds,15.8,-85.9667,Hotel reynita
415,Shelburne,CA,80.13,clear sky,44.0787,-80.2041,The Retreat at the Farm
418,Pirawa,IN,89.15,overcast clouds,24.1551,76.0273,सामुदायिक भवन सराय पिड़ावा
419,Craig,US,83.39,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
426,Ugoofaaru,MV,82.38,overcast clouds,5.6667,73.0,Ungoofaaru Inn
433,Carutapera,BR,75.76,scattered clouds,-1.195,-46.02,Lidera
434,Yarada,IN,80.65,broken clouds,17.65,83.2667,Jeevan
436,Jinji,CN,78.87,few clouds,23.2281,110.8261,
437,Srivardhan,IN,78.3,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
438,Dosso,NE,89.06,broken clouds,13.049,3.1937,Hotel Toubal
441,Khash,IR,77.81,broken clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
442,Aitape,PG,81.82,overcast clouds,-3.1374,142.3475,
444,Seminole,US,83.01,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
447,Ouagadougou,BF,78.93,light rain,12.3642,-1.5383,Centrale Hotel
452,Namatanai,PG,82.51,light rain,-3.6667,152.4333,Seagulls Inn Namatani
453,Gaffney,US,89.47,overcast clouds,35.0718,-81.6498,Quality Inn Gaffney I-85
454,Auki,SB,83.43,broken clouds,-8.7676,160.7034,Auki Motel
458,Berbera,SO,89.73,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
461,Loutra,GR,77.76,clear sky,39.0569,26.545,Aklidi Hotel
463,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
466,Coari,BR,75.27,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
468,Meulaboh,ID,75.6,light rain,4.1363,96.1285,Kost Pria
473,Sao Jose Da Coroa Grande,BR,75.36,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
475,Misratah,LY,80.04,clear sky,32.3754,15.0925,فندق الماسة
478,Ciudad Bolivar,VE,80.22,overcast clouds,8.1222,-63.5497,Hotel Edi
479,Yurimaguas,PE,80.55,clear sky,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
481,Brigantine,US,88.27,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
483,Pokaran,IN,86.68,overcast clouds,26.9167,71.9167,Motel Pokaran - RTDC
484,Libreville,GA,77.02,few clouds,0.3925,9.4537,Hotel Re-Ndama
485,Obando,PH,81.95,overcast clouds,14.7167,120.9333,Sitio Rosal Resort and Pavilion
494,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
496,New Bern,US,89.85,thunderstorm,35.1085,-77.0441,Hampton Inn New Bern
499,Houston,US,87.96,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
507,Gazanjyk,TM,84.34,broken clouds,39.2446,55.5154,Railway motel
509,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
511,Tomatlan,MX,88.75,overcast clouds,19.9333,-105.25,El Salvial
512,Samarai,PG,79.81,broken clouds,-10.6167,150.6667,Nuli Sapi
515,Senador Guiomard,BR,87.55,scattered clouds,-10.1522,-67.7392,Paraíso Hotel
518,Viransehir,TR,85.01,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
519,Tucurui,BR,78.69,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
521,Kovur,IN,78.66,light rain,14.4833,79.9833,Hotel Yesh Park
522,Simbahan,PH,82.87,overcast clouds,6.3032,120.5836,
525,Prince George,CA,81.25,broken clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
530,Digha,IN,83.39,broken clouds,21.6833,87.55,Khoniker Atithi
531,Lakatoro,VU,80.15,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
532,Saint-Louis,SN,82.04,broken clouds,16.3333,-15.0,
533,Shahabad,IN,86.22,overcast clouds,27.65,79.95,डाक बंगला
538,Hue,VN,80.71,few clouds,16.4667,107.6,Saigon Morin Hotel
540,Hounde,BF,79.66,scattered clouds,11.5,-3.5167,Carrefour où ouvriers dorment
541,Aswan,EG,87.67,overcast clouds,24.0934,32.907,Nuba Nile
544,Prescott,US,82.9,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
546,Santa Cruz,BO,81.86,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
547,Sioux Lookout,CA,76.8,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
548,Atikokan,CA,75.63,overcast clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
549,Asyut,EG,84.42,scattered clouds,27.181,31.1837,Florence Hotel Assiut
552,Mecca,SA,88.02,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
557,Mundo Nuevo,MX,77.79,overcast clouds,18.7,-95.5,
558,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
560,Limbang,MY,77.31,overcast clouds,4.75,115.0,Purnama Hotel
565,Callaguip,PH,78.82,few clouds,18.0714,120.4867,Pangil Beach Resort
566,Prainha,BR,78.58,overcast clouds,-1.8,-53.48,Casa Rocha
567,Balkanabat,TM,86.32,overcast clouds,39.5108,54.3671,Nebitchi Hotel
574,Puerto Narino,CO,82.35,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
576,Mbandaka,CD,77.49,overcast clouds,0.0487,18.2603,Guest House Epervier
577,Dakar,SN,80.73,broken clouds,14.6937,-17.4441,Redface Studios Meublés
578,Palmer,US,85.6,scattered clouds,42.1584,-72.3287,Wedgewood Motel
579,Pierre,US,87.06,scattered clouds,44.3683,-100.351,Ramkota Hotel
582,Ewa Beach,US,85.08,broken clouds,21.3156,-158.0072,Uncle Junior Robert
585,Bamako,ML,82.81,few clouds,12.65,-8.0,Hôtel l’Amitié Bamako
586,Gazli,UZ,75.88,few clouds,40.1333,63.45,
588,Chandur,IN,75.47,scattered clouds,19.7333,79.1833,Devasni Chit Funds P Ltd(SURYA)
590,Safaga,EG,87.15,broken clouds,26.7292,33.9365,Lamar Resort Abu Soma
