City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mahebourg,MU,-20.4081,57.7,70.09,73,20,11.5,few clouds
80,Bilibino,RU,68.0546,166.4372,57.92,70,100,4.07,overcast clouds
81,Tuatapere,NZ,-46.1333,167.6833,44.82,75,76,1.86,broken clouds
82,Butaritari,KI,3.0707,172.7902,83.48,77,5,13.4,moderate rain
83,Cape Town,ZA,-33.9258,18.4232,50.11,79,0,9.22,clear sky
84,Vertou,FR,47.1687,-1.4693,62.29,94,0,5.75,clear sky
85,Wewak,PG,-3.5534,143.6268,80.47,84,100,6.64,overcast clouds
86,Vaini,TO,-21.2,-175.2,71.76,100,90,10.36,shower rain
87,Ambilobe,MG,-13.2,49.05,65.93,81,6,4.36,clear sky
88,Saint George,US,37.1041,-113.5841,103.62,26,1,7.0,clear sky
89,Chiredzi,ZW,-21.05,31.6667,58.69,78,100,8.55,overcast clouds
90,Port Alfred,ZA,-33.5906,26.891,54.25,39,1,8.05,clear sky
91,Saint-Philippe,RE,-21.3585,55.7679,67.55,80,81,10.98,broken clouds
92,Hithadhoo,MV,-0.6,73.0833,82.13,75,96,7.9,overcast clouds
93,Kodiak,US,57.79,-152.4072,60.31,63,40,11.5,scattered clouds
94,Yar-Sale,RU,66.8333,70.8333,45.57,64,5,5.59,clear sky
95,Tafo,GH,6.7345,-1.6127,70.12,98,91,4.74,overcast clouds
96,East London,ZA,-33.0153,27.9116,53.67,57,0,7.34,clear sky
97,Torbay,CA,47.6666,-52.7314,65.16,100,4,15.5,clear sky
98,Flin Flon,CA,54.7682,-101.865,81.93,25,61,5.14,broken clouds
99,Aksarka,RU,66.5606,67.7975,48.63,65,100,7.65,overcast clouds
100,Hermanus,ZA,-34.4187,19.2345,49.89,78,78,6.98,broken clouds
101,Hervey Bay,AU,-25.2986,152.8535,70.03,86,42,3.0,scattered clouds
102,Jamestown,US,42.097,-79.2353,78.12,57,1,8.05,clear sky
103,Psyzh,RU,44.2331,42.0183,58.59,76,0,4.9,clear sky
104,Fort Nelson,CA,58.8053,-122.7002,79.74,33,67,7.49,broken clouds
105,Tasiilaq,GL,65.6145,-37.6368,42.96,96,100,3.06,overcast clouds
106,Kula,TR,38.5473,28.6498,70.34,56,0,3.94,clear sky
107,Faanui,PF,-16.4833,-151.75,79.65,75,68,20.18,broken clouds
108,Banda Aceh,ID,5.5577,95.3222,77.68,78,93,14.23,overcast clouds
109,Ouadda,CF,8.0777,22.4007,67.3,97,96,3.47,overcast clouds
110,Port Lavaca,US,28.615,-96.6261,87.78,78,1,9.22,clear sky
111,Saint-Junien,FR,45.8833,0.9,63.18,99,55,3.18,broken clouds
112,Victoria,HK,22.2855,114.1577,84.38,82,12,5.64,few clouds
113,Hasaki,JP,35.7333,140.8333,73.8,87,88,7.34,overcast clouds
114,Pyrzyce,PL,53.1462,14.8926,68.58,81,81,2.44,light rain
115,Tiksi,RU,71.6872,128.8694,43.52,67,93,22.44,overcast clouds
116,Constitucion,CL,-35.3333,-72.4167,48.52,80,1,9.95,clear sky
117,Codrington,AU,-38.2667,141.9667,54.01,83,91,14.99,light rain
118,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,60,5.99,broken clouds
119,Quatre Cocos,MU,-20.2078,57.7625,69.91,74,79,12.39,broken clouds
120,Poya,NC,-21.35,165.15,71.85,59,23,8.37,few clouds
121,Ponta Do Sol,PT,32.6667,-17.1,72.72,84,1,4.36,clear sky
122,Mizan Teferi,ET,6.9833,35.5833,60.62,97,100,2.64,overcast clouds
123,Cabo San Lucas,MX,22.8909,-109.9124,96.51,48,1,12.66,clear sky
124,Pisco,PE,-13.7,-76.2167,68.05,73,30,21.85,scattered clouds
125,Nishihara,JP,26.1842,127.7558,83.48,81,75,8.05,broken clouds
126,Teknaf,BD,20.8624,92.3058,79.21,90,83,6.33,broken clouds
127,Omboue,GA,-1.5746,9.2618,71.19,85,25,6.82,scattered clouds
128,Kieta,PG,-6.2167,155.6333,85.08,72,39,9.19,scattered clouds
129,Kumburgaz,TR,41.0211,28.4772,77.58,88,0,12.64,clear sky
130,Tulum,MX,20.2167,-87.4667,86.99,72,93,7.34,overcast clouds
131,Cayenne,GF,4.9333,-52.3333,81.09,85,61,1.01,broken clouds
132,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,81,20,2.98,few clouds
133,Arlit,NE,18.7369,7.3853,91.26,35,77,9.51,broken clouds
134,Caravelas,BR,-17.7125,-39.2481,71.15,87,0,4.59,clear sky
135,Bengkulu,ID,-3.8004,102.2655,74.66,72,100,3.47,overcast clouds
136,Salalah,OM,17.0151,54.0924,80.69,89,75,5.75,broken clouds
137,Coquimbo,CL,-29.9533,-71.3436,56.93,67,0,8.05,clear sky
138,Massakory,TD,12.996,15.7293,84.83,51,74,6.58,light rain
139,Sheltozero,RU,61.3667,35.3667,67.15,67,35,3.2,scattered clouds
140,Bowen,AU,-20.0167,148.2333,68.22,81,58,6.44,broken clouds
141,Vanavara,RU,60.34,102.2797,61.83,63,100,7.78,overcast clouds
